ID,Sample Type,TEQ,BDE-47,BDE-99,BDE-153,BDE-209
1,fish,0.212875393,8.876073222,0.503482909,0,37.37469626
2,fish,0.101693807,20.08461872,0.949795116,0.763234167,46.13419063
3,fish,0.090488971,15.21057979,2.211661368,1.395562256,246.582544
4,fish,0.012184578,13.08270428,1.440537677,0.273473712,50.43603496
5,fish,0.04377198,8.165556059,0.187617261,4.177395355,184.0379763
6,fish,0.11276887,13.38454986,0.482571092,0.404272048,159.9665837
7,fish,0.083199605,13.09484463,1.060561874,0.386572049,66.96218528
8,fish,0.022069204,5.563069006,0.38593482,0,20.77483837
9,fish,0.163408206,25.78534204,1.833564219,0.867801306,47.41209842
10,fish,0.016674034,6.395356464,1.037909097,0.520102315,10.08231127
11,fish,0.038588536,6.728095488,0.339388772,0.270527282,448.5296432
12,fish,0.107493454,23.74704231,1.238603022,1.237025586,98.27838597
13,fish,0.188645473,25.91865628,0.779329429,0.642898513,60.09492245
14,fish,0.052441668,10.62248996,0.792349727,0.792020541,26.75686352
15,fish,0.067512002,16.95556372,1.069341969,0.469068207,34.69602377
16,fish,0.05966994,12.01223635,1.672516503,1.531798422,23.19207857
17,fish,0.041750157,7.803699659,1.362056984,2.352162547,226.4155002
18,fish,0.054790046,11.98247146,0.911031338,3.013809385,14.50308852
19,fish,0.065160226,9.873523049,1.287069396,1.357963055,32.61174904
20,fish,0.037736262,6.688294492,0.941472458,0.658434852,10.03111758
21,fish,0.082903934,12.79853576,0.969561059,6.814958942,19.1738944
22,fish,0.06006278,10.31569023,1.372651018,0.736068665,35.08940763
23,fish,0.021292442,6.439359564,1.060478382,1.076683736,2.356582615
24,fish,0.177758592,15.29337539,1.713431845,0.466876972,33.06657812
25,fish,0.134673569,13.80445209,1.228458969,1.346211094,7.21860219
26,fish,0.103635618,14.38203353,1.014140884,1.120771679,21.26185242
27,fish,0.051458029,12.9154587,1.197307474,4.181745476,17.65270419
28,fish,0.059742841,15.51879748,1.318420882,1.334653594,38.99649373
29,fish,0.190350933,13.39101791,1.041106059,0.544214531,22.90943676
30,fish,0.130351824,3.246897574,0.184293388,0.469531395,0
31,fish,0.191331354,0,0,0,0
32,fish,0.177405779,5.299849712,0,0.214282251,15.44916857
33,fish,0.014622321,1.658668694,0.395780871,0.449470233,12.31909536
34,fish,0.035418254,10.02772601,2.18717331,1.510840416,19.81273578
35,fish,0.008867031,3.509524708,1.289607695,0.23387401,17.90597888
36,fish,0.082704387,7.714006878,1.199460916,1.839855005,6.920717539
37,fish,0.008564644,1.938069398,0.164783193,0.243938866,5.970528202
38,fish,0.034075268,10.03871487,1.345467344,1.686359294,7.910402735
39,fish,0.023414963,11.10969116,1.046325879,0.996805112,0
40,fish,0.008262151,1.691542289,0,1.153367777,0
41,fish,0.008276506,1.527731493,0.448464651,0.238038562,0
42,fish,0.044655135,2.021794032,0.160415303,0.236179964,0
43,fish,0.008727995,1.540129058,0.195099819,0.188546078,0
44,fish,0.007348708,1.345606184,0,0.177481692,0
45,fish,0.008978381,1.318280086,0.309392265,0.176315157,0
46,fish,0.012796823,1.098265896,0.126075281,0.160211187,0
47,fish,0.064367337,7.982017329,0.74448259,0.748406081,2.397907471
48,fish,0.027403737,10.60951371,1.126275341,0,20.70425335
49,fish,0.091182429,11.10867438,1.515233307,1.360707176,60.624515
